Team ID,Team Name,Owner,Rank,W,L,T
1,Westchester United,santiago,8,6,8,0
8,Come Here Snowflake,quino,3,9,5,0
6,BigDicksNoWhammies,Marlone,1,11,3,0
7,Azteks,Isaac,4,9,5,0
10,I'm Nine,Jovan,9,6,8,0
3,MoBB,Charlie,2,9,5,0
2,Sweetwater Football Team,Mike,11,5,9,0
5,Gladiators,Javier,12,3,11,0
12,Mother of Touchdowns,Monica,10,6,8,0
9,Tompa Bay Pats,Daniel,6,7,7,0
11,Monsters of the Gridiron,Fabian,7,6,8,0
4,ALpocalypse Now,Al,5,7,7,0
