Owner ID,Owner,Team ID,Team Name,Rank,Wins,Losses,Ties,Final Place
36047,santiago,1,Westchester United,8,6,7,0,9th Place
41330,alex,4,ALpocalypse Now,1,10,3,0,2nd Place
66048,quino,8,Come Here Snowflake,9,5,8,0,7th Place
108138,Marlone,6,BigDicksNoWhammies,5,7,6,0,3rd Place
108610,Isaac,7,Azteks,11,4,9,0,12th Place
309543,Charlie,3,Mobb,4,8,5,0,6th Place
476752,Mike,2,Chierfs,12,4,9,0,11th Place
668102,Paul,10,General Jackson,10,4,9,0,10th Place
1465323,Javier,5,Gladiators,6,6,7,0,5th Place
1593176,Alex,9,Yo Soy Tu Papa,2,9,4,0,4th Place
2291835,Monica,12,Mother of Touchdowns,7,6,7,0,8th Place
9856334,Fabian,11,Monsters of the Gridiron,3,9,4,0,1st Place
